154.00,142.00,154.00,94.00,172.00,94.00,172.00,142.00
153.00,140.00,153.00,92.00,171.00,92.00,171.00,140.00
153.00,139.00,153.00,90.00,172.00,90.00,172.00,139.00
152.00,139.00,152.00,89.00,171.00,89.00,171.00,139.00
152.00,138.00,152.00,87.00,172.00,87.00,172.00,138.00
151.00,138.00,151.00,86.00,171.00,86.00,171.00,138.00
151.00,137.00,151.00,84.00,172.00,84.00,172.00,137.00
151.00,137.00,151.00,83.00,173.00,83.00,173.00,137.00
153.00,137.00,153.00,83.00,175.00,83.00,175.00,137.00
153.00,136.00,153.00,82.00,175.00,82.00,175.00,136.00
155.00,136.00,155.00,82.00,177.00,82.00,177.00,136.00
154.00,138.00,154.00,84.00,176.00,84.00,176.00,138.00
157.00,136.00,157.00,82.00,179.00,82.00,179.00,136.00
153.00,135.00,153.00,81.00,175.00,81.00,175.00,135.00
152.00,135.00,152.00,81.00,174.00,81.00,174.00,135.00
151.00,134.00,151.00,80.00,173.00,80.00,173.00,134.00
147.00,136.00,147.00,82.00,169.00,82.00,169.00,136.00
141.00,136.00,141.00,82.00,163.00,82.00,163.00,136.00
136.00,134.00,136.00,80.00,158.00,80.00,158.00,134.00
133.00,134.00,133.00,80.00,155.00,80.00,155.00,134.00
128.00,133.00,128.00,79.00,150.00,79.00,150.00,133.00
130.00,133.00,130.00,79.00,152.00,79.00,152.00,133.00
129.00,132.00,129.00,78.00,151.00,78.00,151.00,132.00
130.00,131.00,130.00,77.00,152.00,77.00,152.00,131.00
131.00,132.00,131.00,78.00,153.00,78.00,153.00,132.00
131.00,131.00,131.00,77.00,153.00,77.00,153.00,131.00
133.00,131.00,133.00,77.00,155.00,77.00,155.00,131.00
135.00,132.00,135.00,78.00,157.00,78.00,157.00,132.00
137.00,131.00,137.00,77.00,159.00,77.00,159.00,131.00
138.00,130.00,138.00,76.00,160.00,76.00,160.00,130.00
140.00,129.00,140.00,75.00,162.00,75.00,162.00,129.00
142.00,129.00,142.00,75.00,164.00,75.00,164.00,129.00
145.00,128.00,145.00,74.00,167.00,74.00,167.00,128.00
147.00,128.00,147.00,74.00,169.00,74.00,169.00,128.00
150.00,128.00,150.00,74.00,172.00,74.00,172.00,128.00
148.00,127.00,148.00,73.00,170.00,73.00,170.00,127.00
148.00,129.00,148.00,75.00,170.00,75.00,170.00,129.00
149.00,128.00,149.00,74.00,171.00,74.00,171.00,128.00
